id,Organisation,Department
71,Dte General Border Roads Organisation,HQ CE(P) Vartak(Tezpur) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Chetak(Bikaner) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Sampark(Jammu) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Vijayak(Kargil) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Swastik (Gangtok) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Rothang(Manali) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Beacon(Srinagar) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Phuspak(Aizawal) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Udayak(Doom Dooma) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Deepak(Shimla) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Hirak(Champawat) - BRO
71,Dte General Border Roads Organisation,HQ (CE) P Shivalik(Rishikesh) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Arunank( Naharlagun) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Himank(Leh) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Brahmank(Pasighat) - BRO
71,Dte General Border Roads Organisation,HQ CE(P) Sewak(Dimapur) - BRO
71,Dte General Border Roads Organisation,ADG East(Guwahati) - BRO
72,Border Roads Organisation,Border Roads Orgn.-HQ CE (P) Dantak ( Thimpu)
73,Border Security Force,South Bengal
73,Border Security Force,Air Wing
73,Border Security Force,ANO FTR (Bangalore)
73,Border Security Force,Gujarat FTR
73,Border Security Force,SPL OPS FTR HQ (CHHATTISGARH)
73,Border Security Force,North Bengal
73,Border Security Force,Srinagar Frontier
73,Border Security Force,IG HQ
73,Border Security Force,STC BSF Bangalore
74,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL-Mechanical
74,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL-MM
74,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL-Electrical
74,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL-TS
74,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL-HR
